page,file_name,category,learning_value_score
100,00100.webp,memorial_lobby_final,93
101,00101.webp,memorial_lobby_final,93
102,00102.webp,memorial_lobby_final,93
103,00103.webp,memorial_lobby_final,93
104,00104.webp,memorial_lobby_final,93
105,00105.webp,memorial_lobby_final,93
106,00106.webp,memorial_lobby_final,93
107,00107.webp,memorial_lobby_final,93
108,00108.webp,memorial_lobby_final,93
109,00109.webp,memorial_lobby_final,93
110,00110.webp,memorial_lobby_final,93
111,00111.webp,memorial_lobby_final,93
112,00112.webp,memorial_lobby_final,93
113,00113.webp,memorial_lobby_final,93
114,00114.webp,memorial_lobby_final,93
115,00115.webp,memorial_lobby_final,93
116,00116.webp,memorial_lobby_final,93
117,00117.webp,memorial_lobby_final,93
118,00118.webp,memorial_lobby_final,93
119,00119.webp,memorial_lobby_final,93
120,00120.webp,memorial_lobby_final,93
121,00121.webp,memorial_lobby_final,93
122,00122.webp,memorial_lobby_final,93
123,00123.webp,memorial_lobby_rough,96
124,00124.webp,memorial_lobby_rough,96
125,00125.webp,memorial_lobby_rough,96
126,00126.webp,memorial_lobby_rough,96
127,00127.webp,memorial_lobby_rough,96
128,00128.webp,memorial_lobby_rough,96
129,00129.webp,memorial_lobby_rough,96
130,00130.webp,memorial_lobby_rough,96
131,00131.webp,section_header,20
132,00132.webp,concept_design,97
133,00133.webp,concept_design,97
134,00134.webp,concept_design,97
135,00135.webp,concept_design,97
136,00136.webp,concept_design,97
137,00137.webp,concept_design,97
138,00138.webp,concept_design,97
139,00139.webp,concept_design,97
140,00140.webp,concept_design,97
141,00141.webp,concept_design,97
142,00142.webp,concept_design,97
143,00143.webp,concept_design,97
144,00144.webp,concept_design,97
145,00145.webp,concept_design,97
146,00146.webp,concept_design,97
147,00147.webp,concept_design,97
148,00148.webp,concept_design,97
149,00149.webp,concept_design,97
150,00150.webp,concept_design,97
151,00151.webp,concept_design,97
152,00152.webp,concept_design,97
153,00153.webp,concept_design,97
154,00154.webp,concept_design,97
155,00155.webp,concept_design,97
156,00156.webp,concept_design,97
157,00157.webp,concept_design,97
158,00158.webp,concept_design,97
159,00159.webp,concept_design,97
160,00160.webp,concept_design,97
161,00161.webp,concept_design,97
162,00162.webp,concept_design,97
163,00163.webp,concept_design,97
164,00164.webp,concept_design,97
165,00165.webp,concept_design,97
166,00166.webp,concept_design,97
167,00167.webp,concept_design,97
168,00168.webp,concept_design,97
169,00169.webp,concept_design,97
170,00170.webp,concept_design,97
171,00171.webp,concept_design,97
172,00172.webp,concept_design,97
173,00173.webp,concept_design,97
174,00174.webp,concept_design,97
175,00175.webp,concept_design,97
176,00176.webp,concept_design,97
177,00177.webp,concept_design,97
178,00178.webp,concept_design,97
179,00179.webp,concept_design,97
180,00180.webp,concept_design,97
181,00181.webp,concept_design,97
182,00182.webp,concept_design,97
183,00183.webp,concept_design,97
184,00184.webp,concept_design,97
185,00185.webp,concept_design,97
186,00186.webp,pv_cut_visual_development,88
187,00187.webp,pv_cut_visual_development,88
188,00188.webp,pv_cut_visual_development,88
189,00189.webp,pv_cut_visual_development,88
190,00190.webp,pv_cut_visual_development,88
191,00191.webp,pv_cut_visual_development,88
192,00192.webp,pv_cut_visual_development,88
193,00193.webp,pv_cut_visual_development,88
194,00194.webp,pv_cut_visual_development,88
195,00195.webp,pv_cut_visual_development,88
196,00196.webp,pv_cut_visual_development,88
197,00197.webp,pv_cut_visual_development,88
198,00198.webp,pv_cut_visual_development,88
199,00199.webp,pv_cut_visual_development,88
200,00200.webp,pv_cut_visual_development,88
201,00201.webp,pv_cut_visual_development,88
202,00202.webp,pv_cut_visual_development,88
203,00203.webp,pv_cut_visual_development,88
204,00204.webp,pv_cut_visual_development,88
205,00205.webp,pv_cut_visual_development,88
206,00206.webp,pv_cut_visual_development,88
207,00207.webp,pv_cut_visual_development,88
208,00208.webp,pv_cut_visual_development,88
209,00209.webp,pv_cut_visual_development,88
210,00210.webp,pv_cut_visual_development,88
211,00211.webp,pv_cut_visual_development,88
212,00212.webp,pv_cut_visual_development,88
213,00213.webp,pv_cut_visual_development,88
214,00214.webp,pv_cut_visual_development,88
215,00215.webp,pv_cut_visual_development,88
216,00216.webp,pv_cut_visual_development,88
217,00217.webp,pv_cut_visual_development,88
218,00218.webp,pv_cut_visual_development,88
219,00219.webp,pv_cut_visual_development,88
220,00220.webp,pv_cut_visual_development,88
221,00221.webp,pv_cut_visual_development,88
222,00222.webp,pv_cut_visual_development,88
223,00223.webp,pv_cut_visual_development,88
224,00224.webp,pv_cut_visual_development,88
225,00225.webp,pv_cut_visual_development,88
226,00226.webp,pv_cut_visual_development,88
227,00227.webp,pv_cut_visual_development,88
228,00228.webp,pv_cut_visual_development,88
229,00229.webp,pv_cut_visual_development,88
230,00230.webp,pv_cut_visual_development,88
231,00231.webp,pv_cut_visual_development,88
232,00232.webp,pv_cut_visual_development,88
233,00233.webp,pv_cut_visual_development,88
234,00234.webp,pv_cut_visual_development,88
235,00235.webp,pv_cut_visual_development,88
236,00236.webp,pv_cut_visual_development,88
237,00237.webp,pv_cut_visual_development,88
238,00238.webp,pv_cut_visual_development,88
239,00239.webp,pv_cut_visual_development,88
240,00240.webp,pv_cut_visual_development,88
241,00241.webp,pv_cut_visual_development,88
242,00242.webp,pv_cut_visual_development,88
243,00243.webp,pv_cut_visual_development,88
244,00244.webp,pv_cut_visual_development,88
245,00245.webp,pv_cut_visual_development,88
246,00246.webp,pv_cut_visual_development,88
247,00247.webp,pv_cut_visual_development,88
248,00248.webp,pv_cut_visual_development,88
249,00249.webp,pv_cut_visual_development,88
250,00250.webp,pv_cut_visual_development,88
251,00251.webp,pv_cut_visual_development,88
252,00252.webp,pv_cut_visual_development,88
253,00253.webp,pv_cut_visual_development,88
254,00254.webp,pv_cut_visual_development,88
255,00255.webp,pv_cut_visual_development,88
256,00256.webp,pv_cut_visual_development,88
257,00257.webp,pv_cut_visual_development,88
258,00258.webp,pv_cut_visual_development,88
259,00259.webp,pv_cut_visual_development,88
260,00260.webp,pv_cut_visual_development,88
261,00261.webp,pv_cut_visual_development,88
262,00262.webp,pv_cut_visual_development,88
263,00263.webp,pv_cut_visual_development,88
264,00264.webp,pv_cut_visual_development,88
265,00265.webp,pv_cut_visual_development,88
266,00266.webp,pv_cut_visual_development,88
267,00267.webp,pv_cut_visual_development,88
268,00268.webp,pv_cut_visual_development,88
269,00269.webp,pv_cut_visual_development,88
270,00270.webp,pv_cut_visual_development,88
271,00271.webp,pv_cut_visual_development,88
272,00272.webp,pv_cut_visual_development,88
273,00273.webp,pv_cut_visual_development,88
274,00274.webp,pv_cut_visual_development,88
275,00275.webp,pv_cut_visual_development,88
276,00276.webp,pv_cut_visual_development,88
277,00277.webp,pv_cut_visual_development,88
278,00278.webp,pv_cut_visual_development,88
279,00279.webp,pv_cut_visual_development,88
280,00280.webp,pv_cut_visual_development,88
281,00281.webp,pv_cut_visual_development,88
282,00282.webp,pv_cut_visual_development,88
283,00283.webp,pv_cut_visual_development,88
284,00284.webp,pv_cut_visual_development,88
285,00285.webp,pv_cut_visual_development,88
286,00286.webp,pv_cut_visual_development,88
287,00287.webp,pv_cut_visual_development,88
288,00288.webp,pv_cut_visual_development,88
289,00289.webp,pv_cut_visual_development,88
290,00290.webp,pv_cut_visual_development,88
291,00291.webp,pv_cut_visual_development,88
292,00292.webp,pv_cut_visual_development,88
293,00293.webp,pv_cut_visual_development,88
294,00294.webp,pv_cut_visual_development,88
295,00295.webp,pv_cut_visual_development,88
296,00296.webp,pv_cut_visual_development,88
297,00297.webp,pv_cut_visual_development,88
298,00298.webp,pv_cut_visual_development,88
299,00299.webp,pv_cut_visual_development,88
300,00300.webp,pv_cut_visual_development,88
301,00301.webp,pv_cut_visual_development,88
302,00302.webp,pv_cut_visual_development,88
303,00303.webp,pv_cut_visual_development,88
304,00304.webp,credits,15
305,00305.webp,credits,15
306,00306.webp,staff_interview,55
307,00307.webp,staff_interview,55
308,00308.webp,staff_interview,55
309,00309.webp,staff_interview,55
310,00310.webp,staff_interview,55
311,00311.webp,staff_interview,55
312,00312.webp,staff_interview,55
313,00313.webp,staff_interview,55
314,00314.webp,extra_page,65
315,00315.webp,colophon,10
