page,filename,section,asset_type,tier,selected,learning_focus,notes
019,019.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
020,020.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
021,02.1.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
021,021.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
022,022.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
023,023.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
024,024.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
025,025.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
026,026.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
027,027.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
028,028.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
029,029.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
030,030.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
031,031.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
032,032.webp,character_base,character_or_prop_sheet,S,yes,character costume silhouette and personality anchor,hunter / handler / palico / npc character design
033,033.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
034,034.webp,character_base,character_design_sheet,S,yes,full turnaround with gear breakdown,hunter / handler / palico / npc character design
035,035.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
036,036.webp,character_base,character_design_sheet,S,yes,palico design language and prop logic,hunter / handler / palico / npc character design
037,037.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
038,038.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
039,039.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
040,040.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
041,041.webp,character_base,character_design_sheet,S,yes,fighter archetype and practical clothing layers,hunter / handler / palico / npc character design
042,042.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
043,043.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
044,044.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
045,045.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
046,046.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
047,047.webp,character_base,character_design_sheet,S,yes,daily wear / guild-wear contrast,hunter / handler / palico / npc character design
048,048.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
049,049.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
050,050.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
051,051.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
052,052.webp,character_base,character_design_sheet,S,yes,multi-character utility costume sheet,hunter / handler / palico / npc character design
053,053.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
054,054.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
055,055.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
056,056.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
057,057.webp,character_base,character_design_sheet,S,yes,pose and lifestyle storytelling in character presentation,hunter / handler / palico / npc character design
058,058.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
059,059.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
060,060.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
061,061.webp,character_base,character_design_sheet,S,yes,weapon-user silhouette differentiation,hunter / handler / palico / npc character design
062,062.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
063,063.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
064,064.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
065,065.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
066,066.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
067,067.webp,character_base,character_design_sheet,S,yes,field equipment prop set and utility design,hunter / handler / palico / npc character design
068,068.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
069,069.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
070,070.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
071,071.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
072,072.webp,character_base,character_design_sheet,S,yes,female hunter gear shape language,hunter / handler / palico / npc character design
073,073.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
074,074.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
075,075.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
076,076.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
077,077.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
078,078.webp,character_base,character_design_sheet,S,yes,support/civilian design variation,hunter / handler / palico / npc character design
079,079.webp,character_base,character_or_prop_sheet,A,no,"Useful for hunter silhouette, clothing layers, tool wear, Palico proportions, and practical fantasy costume logic.",hunter / handler / palico / npc character design
080,080.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
081,081.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
082,082.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
083,083.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
084,084.webp,base_and_facility_design,settlement_or_facility_design,S,yes,Astera establishing visual identity,Astera / hubs / facility / settlement design
085,085.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
086,086.webp,base_and_facility_design,settlement_or_facility_design,S,yes,settlement architecture and vertical layout,Astera / hubs / facility / settlement design
087,087.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
088,088.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
089,089.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
090,090.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
091,091.webp,base_and_facility_design,settlement_or_facility_design,S,yes,interior / function-driven environmental storytelling,Astera / hubs / facility / settlement design
092,092.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
093,093.webp,base_and_facility_design,settlement_or_facility_design,S,yes,harbor / vessel / settlement production design,Astera / hubs / facility / settlement design
094,094.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
095,095.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
096,096.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
097,097.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
098,098.webp,base_and_facility_design,settlement_or_facility_design,S,yes,regional architecture and ecosystem tie-in,Astera / hubs / facility / settlement design
099,099.webp,base_and_facility_design,settlement_or_facility_design,B,no,"Useful for hub architecture, function-driven environment storytelling, transport, docks, furnaces, and guild infrastructure.",Astera / hubs / facility / settlement design
100,0100.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
101,0101.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
102,0102.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
103,0103.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
104,0104.webp,field_exploration,environment_concept_or_breakdown,S,yes,Ancient Forest hero environment plate,environment exploration / biome / map / habitat study
105,0105.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
106,0106.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
107,0107.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
108,0108.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
109,0109.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
110,0110.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
111,0111.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
112,0112.webp,field_exploration,environment_concept_or_breakdown,S,yes,top-down canopy composition and layered depth,environment exploration / biome / map / habitat study
113,0113.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
114,0114.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
115,0115.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
116,0116.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
117,0117.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
118,0118.webp,field_exploration,environment_concept_or_breakdown,S,yes,open-field vista and traversal readability,environment exploration / biome / map / habitat study
119,0119.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
120,0120.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
121,0121.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
122,0122.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
123,0123.webp,field_exploration,environment_concept_or_breakdown,S,yes,biome contrast and color zoning,environment exploration / biome / map / habitat study
124,0124.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
125,0125.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
126,0126.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
127,0127.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
128,0128.webp,field_exploration,environment_concept_or_breakdown,S,yes,rocky path / traversal / combat readability,environment exploration / biome / map / habitat study
129,0129.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
130,0130.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
131,0131.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
132,0132.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
133,0133.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
134,0134.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
135,0135.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
136,0136.webp,field_exploration,environment_concept_or_breakdown,S,yes,Coral Highlands color and atmosphere system,environment exploration / biome / map / habitat study
137,0137.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
138,0138.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
139,0139.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
140,0140.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
141,0141.webp,field_exploration,environment_concept_or_breakdown,S,yes,underwater-like lighting language,environment exploration / biome / map / habitat study
142,0142.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
143,0143.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
144,0144.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
145,0145.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
146,0146.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
147,0147.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
148,0148.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
149,0149.webp,field_exploration,environment_concept_or_breakdown,S,yes,Rotten Vale oppressive mood and decay language,environment exploration / biome / map / habitat study
150,0150.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
151,0151.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
152,0152.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
153,0153.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
154,0154.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
155,0155.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
156,0156.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
157,0157.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
158,0158.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
159,0159.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
160,0160.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
161,0161.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
162,0162.webp,field_exploration,environment_concept_or_breakdown,S,yes,Elder Recess grand scale key art,environment exploration / biome / map / habitat study
163,0163.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
164,0164.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
165,0165.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
166,0166.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
167,0167.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
168,0168.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
169,0169.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
170,0170.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
171,0171.webp,field_exploration,environment_concept_or_breakdown,A,no,"High value for environment composition, traversal readability, ecological layering, color zoning, and combat-friendly spatial design.",environment exploration / biome / map / habitat study
172,0172.webp,field_exploration,environment_concept_or_breakdown,S,yes,lava chamber and heat-color design,environment exploration / biome / map / habitat study
